"","method","k_num","ptime","k_orig","e","n","LOINC"
"227","pam_kluster_mean",2,0.0188999999978114,3,-1,696,"2888-6"
"228","ap_kluster_mean",13,0.0632999999995809,3,10,696,"2888-6"
"229","BIC_kluster_frq",3,0.0647700000042096,3,0,696,"2888-6"
"230","cal_kluster_frq",15,1.08953000000387,3,12,696,"2888-6"
"231","pam_kluster_frq",2,0.0188999999978114,3,-1,696,"2888-6"
"232","ap_kluster_frq",13,0.0632999999995809,3,10,696,"2888-6"
"233","BIC_kluster_mean",3,0.0760799999994924,3,0,2155,"2947-0"
"234","cal_kluster_mean",15,1.03801999999967,3,12,2155,"2947-0"
"235","pam_kluster_mean",9,0.0224099999997998,3,6,2155,"2947-0"
"236","ap_kluster_mean",9,0.0574500000016997,3,6,2155,"2947-0"
"237","BIC_kluster_frq",3,0.0760799999994924,3,0,2155,"2947-0"
"238","cal_kluster_frq",15,1.03801999999967,3,12,2155,"2947-0"
"239","pam_kluster_frq",10,0.0224099999997998,3,7,2155,"2947-0"
"240","ap_kluster_frq",9,0.0574500000016997,3,6,2155,"2947-0"
"241","BIC_kluster_mean",3,0.0608299999992596,3,0,34098,"2951-2"
"242","cal_kluster_mean",15,0.928170000000973,3,12,34098,"2951-2"
"243","pam_kluster_mean",10,0.0182399999978952,3,7,34098,"2951-2"
"244","ap_kluster_mean",8,0.0598500000021886,3,5,34098,"2951-2"
"245","BIC_kluster_frq",3,0.0608299999992596,3,0,34098,"2951-2"
"246","cal_kluster_frq",15,0.928170000000973,3,12,34098,"2951-2"
"247","pam_kluster_frq",10,0.0182399999978952,3,7,34098,"2951-2"
"248","ap_kluster_frq",8,0.0598500000021886,3,5,34098,"2951-2"
"249","BIC_kluster_mean",3,0.140120000001043,3,0,2070,"30313-1"
"250","cal_kluster_mean",15,1.05987000000139,3,12,2070,"30313-1"
"251","pam_kluster_mean",4,0.032999999995809,3,1,2070,"30313-1"
"252","ap_kluster_mean",7,0.0398500000010245,3,4,2070,"30313-1"
"253","BIC_kluster_frq",3,0.140120000001043,3,0,2070,"30313-1"
"254","cal_kluster_frq",15,1.05987000000139,3,12,2070,"30313-1"
"255","pam_kluster_frq",2,0.032999999995809,3,-1,2070,"30313-1"
"256","ap_kluster_frq",7,0.0398500000010245,3,4,2070,"30313-1"
"257","BIC_kluster_mean",3,0.127950000001583,3,0,302,"30350-3"
"258","cal_kluster_mean",15,1.04291000000143,3,12,302,"30350-3"
"259","pam_kluster_mean",6,0.0323600000026636,3,3,302,"30350-3"
"260","ap_kluster_mean",7,0.0435399999946821,3,4,302,"30350-3"
"261","BIC_kluster_frq",3,0.127950000001583,3,0,302,"30350-3"
"262","cal_kluster_frq",15,1.04291000000143,3,12,302,"30350-3"
"263","pam_kluster_frq",2,0.0323600000026636,3,-1,302,"30350-3"
"264","ap_kluster_frq",7,0.0435399999946821,3,4,302,"30350-3"
"265","BIC_kluster_mean",3,0.154529999998631,3,0,1654,"3084-1"
"266","cal_kluster_mean",15,1.09145000000135,3,12,1654,"3084-1"
"267","pam_kluster_mean",7,0.0336100000003353,3,4,1654,"3084-1"
"268","ap_kluster_mean",8,0.0423100000020349,3,5,1654,"3084-1"
"269","BIC_kluster_frq",3,0.154529999998631,3,0,1654,"3084-1"
"270","cal_kluster_frq",15,1.09145000000135,3,12,1654,"3084-1"
"271","pam_kluster_frq",10,0.0336100000003353,3,7,1654,"3084-1"
"272","ap_kluster_frq",7,0.0423100000020349,3,4,1654,"3084-1"
"273","BIC_kluster_mean",3,0.060710000001709,3,0,33827,"3094-0"
"274","cal_kluster_mean",15,1.04638999999617,3,12,33827,"3094-0"
"275","pam_kluster_mean",3,0.0258399999979883,3,0,33827,"3094-0"
"276","ap_kluster_mean",10,0.0542599999980303,3,7,33827,"3094-0"
"277","BIC_kluster_frq",3,0.060710000001709,3,0,33827,"3094-0"
"278","cal_kluster_frq",15,1.04638999999617,3,12,33827,"3094-0"
"279","pam_kluster_frq",2,0.0258399999979883,3,-1,33827,"3094-0"
"280","ap_kluster_frq",9,0.0542599999980303,3,6,33827,"3094-0"
"281","BIC_kluster_mean",5,0.0705799999990268,3,2,798,"33762-6"
"282","cal_kluster_mean",13,1.57418000000063,3,10,798,"33762-6"
"283","pam_kluster_mean",2,0.033169999999227,3,-1,798,"33762-6"
"284","ap_kluster_mean",12,0.0546000000025379,3,9,798,"33762-6"
"285","BIC_kluster_frq",5,0.0705799999990268,3,2,798,"33762-6"
"286","cal_kluster_frq",15,1.57418000000063,3,12,798,"33762-6"
"287","pam_kluster_frq",2,0.033169999999227,3,-1,798,"33762-6"
"288","ap_kluster_frq",12,0.0546000000025379,3,9,798,"33762-6"
"289","BIC_kluster_mean",11,0.104940000002971,3,8,33211,"33914-3"
"290","cal_kluster_mean",15,0.946499999999651,3,12,33211,"33914-3"
"291","pam_kluster_mean",7,0.0168799999990733,3,4,33211,"33914-3"
"292","ap_kluster_mean",22,0.13984999999986,3,19,33211,"33914-3"
"293","BIC_kluster_frq",12,0.104940000002971,3,9,33211,"33914-3"
"294","cal_kluster_frq",15,0.946499999999651,3,12,33211,"33914-3"
"295","pam_kluster_frq",10,0.0168799999990733,3,7,33211,"33914-3"
"296","ap_kluster_frq",35,0.13984999999986,3,32,33211,"33914-3"
"297","BIC_kluster_mean",3,0.0682900000002701,3,0,2138,"4537-7"
"298","cal_kluster_mean",15,1.12368000000017,3,12,2138,"4537-7"
"299","pam_kluster_mean",3,0.0293800000002375,3,0,2138,"4537-7"
"300","ap_kluster_mean",9,0.0509599999984493,3,6,2138,"4537-7"
"301","BIC_kluster_frq",3,0.0682900000002701,3,0,2138,"4537-7"
"302","cal_kluster_frq",15,1.12368000000017,3,12,2138,"4537-7"
"303","pam_kluster_frq",2,0.0293800000002375,3,-1,2138,"4537-7"
"304","ap_kluster_frq",8,0.0509599999984493,3,5,2138,"4537-7"
"305","BIC_kluster_mean",3,0.149030000000494,3,0,33307,"4544-3"
"306","cal_kluster_mean",15,1.20716999999946,3,12,33307,"4544-3"
"307","pam_kluster_mean",4,0.0398199999972712,3,1,33307,"4544-3"
"308","ap_kluster_mean",7,0.0328800000058254,3,4,33307,"4544-3"
"309","BIC_kluster_frq",3,0.149030000000494,3,0,33307,"4544-3"
"310","cal_kluster_frq",15,1.20716999999946,3,12,33307,"4544-3"
"311","pam_kluster_frq",2,0.0398199999972712,3,-1,33307,"4544-3"
"312","ap_kluster_frq",7,0.0328800000058254,3,4,33307,"4544-3"
"313","BIC_kluster_mean",3,0.0856100000062725,3,0,4005,"4548-4"
"314","cal_kluster_mean",15,1.08087000000058,3,12,4005,"4548-4"
"315","pam_kluster_mean",3,0.0275599999970291,3,0,4005,"4548-4"
"316","ap_kluster_mean",9,0.0553399999986868,3,6,4005,"4548-4"
"317","BIC_kluster_frq",3,0.0856100000062725,3,0,4005,"4548-4"
"318","cal_kluster_frq",15,1.08087000000058,3,12,4005,"4548-4"
"319","pam_kluster_frq",2,0.0275599999970291,3,-1,4005,"4548-4"
"320","ap_kluster_frq",8,0.0553399999986868,3,5,4005,"4548-4"
"321","BIC_kluster_mean",3,0.14613999999885,3,0,6396,"5905-5"
"322","cal_kluster_mean",15,1.25228000000352,3,12,6396,"5905-5"
"323","pam_kluster_mean",6,0.0352000000001863,3,3,6396,"5905-5"
"324","ap_kluster_mean",8,0.041869999995688,3,5,6396,"5905-5"
"325","BIC_kluster_frq",3,0.14613999999885,3,0,6396,"5905-5"
"326","cal_kluster_frq",15,1.25228000000352,3,12,6396,"5905-5"
"327","pam_kluster_frq",2,0.0352000000001863,3,-1,6396,"5905-5"
"328","ap_kluster_frq",8,0.041869999995688,3,5,6396,"5905-5"
"329","BIC_kluster_mean",3,0.100719999996363,3,0,3244,"6298-4"
"330","cal_kluster_mean",15,1.00008000000264,3,12,3244,"6298-4"
"331","pam_kluster_mean",8,0.0245300000003772,3,5,3244,"6298-4"
"332","ap_kluster_mean",8,0.0520500000024913,3,5,3244,"6298-4"
"333","BIC_kluster_frq",3,0.100719999996363,3,0,3244,"6298-4"
"334","cal_kluster_frq",15,1.00008000000264,3,12,3244,"6298-4"
"335","pam_kluster_frq",10,0.0245300000003772,3,7,3244,"6298-4"
"336","ap_kluster_frq",7,0.0520500000024913,3,4,3244,"6298-4"
"337","BIC_kluster_mean",5,0.046019999999553,3,2,13466,"6301-6"
"338","cal_kluster_mean",15,0.926429999996326,3,12,13466,"6301-6"
"339","pam_kluster_mean",8,0.0203400000027614,3,5,13466,"6301-6"
"340","ap_kluster_mean",9,0.0592199999990407,3,6,13466,"6301-6"
"341","BIC_kluster_frq",3,0.046019999999553,3,0,13466,"6301-6"
"342","cal_kluster_frq",15,0.926429999996326,3,12,13466,"6301-6"
"343","pam_kluster_frq",10,0.0203400000027614,3,7,13466,"6301-6"
"344","ap_kluster_frq",9,0.0592199999990407,3,6,13466,"6301-6"
"345","BIC_kluster_mean",6,0.0487099999986822,3,3,2007,"6598-7"
"346","cal_kluster_mean",15,1.03327999999456,3,12,2007,"6598-7"
"347","pam_kluster_mean",2,0.0198600000009174,3,-1,2007,"6598-7"
"348","ap_kluster_mean",16,0.0696300000027986,3,13,2007,"6598-7"
"349","BIC_kluster_frq",3,0.0487099999986822,3,0,2007,"6598-7"
"350","cal_kluster_frq",15,1.03327999999456,3,12,2007,"6598-7"
"351","pam_kluster_frq",2,0.0198600000009174,3,-1,2007,"6598-7"
"352","ap_kluster_frq",16,0.0696300000027986,3,13,2007,"6598-7"
"353","BIC_kluster_mean",3,0.132460000000428,3,0,33102,"6690-2"
"354","cal_kluster_mean",15,1.31085000000312,3,12,33102,"6690-2"
"355","pam_kluster_mean",5,0.0399699999974109,3,2,33102,"6690-2"
"356","ap_kluster_mean",9,0.0353699999972014,3,6,33102,"6690-2"
"357","BIC_kluster_frq",3,0.132460000000428,3,0,33102,"6690-2"
"358","cal_kluster_frq",15,1.31085000000312,3,12,33102,"6690-2"
"359","pam_kluster_frq",2,0.0399699999974109,3,-1,33102,"6690-2"
"360","ap_kluster_frq",9,0.0353699999972014,3,6,33102,"6690-2"
"361","BIC_kluster_mean",3,0.0839400000020396,3,0,16127,"6768-6"
"362","cal_kluster_mean",15,1.40817999999796,3,12,16127,"6768-6"
"363","pam_kluster_mean",3,0.0327500000002328,3,0,16127,"6768-6"
"364","ap_kluster_mean",11,0.0524999999982538,3,8,16127,"6768-6"
"365","BIC_kluster_frq",3,0.0839400000020396,3,0,16127,"6768-6"
"366","cal_kluster_frq",15,1.40817999999796,3,12,16127,"6768-6"
